priority_rank,customer_id,segment,label,risk_score,dominant_modality,next_best_action,contributing_text,contributing_voice,contributing_txn,text_score,text_label,text_snippet,voice_score,voice_label,transcript_snippet,txn_score,top_txn_features
11,CUST00515,mobile_app_user,1,0.6528,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2607,,1.8247,0.5379051566123962,card_declined,"My debit card was declined at the POS terminal on 19 August even though I had up to 12,000 naira in my account.",,,,0.6210922599862746,"[[""txn_frequency_change"", 0.6041], [""avg_resolution_delay"", 0.4773], [""app_sessions_change"", 0.1922]]"
12,CUST00733,ussd_user,1,0.6426,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,3.0405,,,,,,,0.5756681295045389,"[[""txn_frequency_change"", 0.4197], [""avg_resolution_delay"", 0.3028], [""app_sessions_change"", 0.2787]]"
13,CUST00613,mobile_app_user,0,0.641,text,Trace the failed transaction and initiate reversal if applicable.,3.0339,,,0.5744282603263855,failed_transaction,"The USSD code has not been working since 15 July, I cannot do any transaction at all.",,,,,
14,CUST00509,mobile_app_user,0,0.6374,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2322,0.1584,1.6275,0.5658836960792542,unauthorised_deduction,"There is a strange debit of 100,000 naira on my account from 18 August that I did not authorise.",0.4228895902633667,app_downtime,the app has been down since 28 July i cannot send money at all please fix it,0.5962435878833076,"[[""txn_frequency_change"", 0.7421], [""avg_resolution_delay"", 0.2314], [""failed_transfers_count"", 0.1666]]"
15,CUST00655,mobile_app_user,0,0.6357,text,Confirm outage window and proactively notify the customer of resolution.,3.0107,,,0.5700345039367676,app_downtime,"I keep getting a network error on the app whenever I try to transfer 65,000 naira, this has been since 13 July.",,,,,
16,CUST00191,ussd_user,0,0.6352,text,Confirm outage window and proactively notify the customer of resolution.,3.0087,,,0.5696396827697754,app_downtime,"My money of 5,000 naira has not been returned.",,,,,
17,CUST00320,ussd_user,0,0.6182,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.9358,,,,,,,0.5558535026297381,"[[""txn_frequency_change"", 0.6019], [""avg_resolution_delay"", 0.286], [""failed_transfers_count"", 0.0524]]"
18,CUST00333,ussd_user,1,0.6118,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.3351,,1.5738,0.5696396827697754,app_downtime,"My money of 12,000 naira has not been returned.",,,,0.5356834062287464,"[[""txn_frequency_change"", 0.8451], [""app_sessions_change"", 0.0751], [""failed_transfers_count"", 0.0524]]"
19,CUST00367,mobile_app_user,1,0.6017,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.3668,,1.4996,0.5831645131111145,app_downtime,"Your app keeps crashing whenever I try to log in, this has been happening since 24 August and it is frustrating.",,,,0.5104381212793149,"[[""app_sessions_change"", 0.4101], [""txn_frequency_change"", 0.3967], [""failed_transfers_count"", 0.0905]]"
20,CUST00391,mobile_app_user,0,0.5995,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.9854,,1.8723,0.42041778564453125,other,"The USSD code has not been working since 24 July, I cannot do any transaction at all.",,,,0.6372755703842324,"[[""txn_frequency_change"", 0.5074], [""avg_resolution_delay"", 0.4202], [""app_sessions_change"", 0.3609]]"
21,CUST00114,mobile_app_user,1,0.5968,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.8463,,,,,,,0.5388991934249343,"[[""txn_frequency_change"", 0.4907], [""avg_resolution_delay"", 0.2323], [""app_sessions_change"", 0.1183]]"
22,CUST00641,mobile_app_user,1,0.5945,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.3682,,1.4686,0.5837729573249817,unfair_charge,"I noticed an unfair maintenance charge of 5,000 naira on 18 July that seems too high for this month.",,,,0.4998843848581637,"[[""avg_resolution_delay"", 0.265], [""txn_frequency_change"", 0.2355], [""app_sessions_change"", 0.1874]]"
23,CUST00431,ussd_user,0,0.5939,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.8343,,,,,,,0.5366367779828305,"[[""txn_frequency_change"", 0.4819], [""app_sessions_change"", 0.1511], [""avg_resolution_delay"", 0.1484]]"
24,CUST00432,mobile_app_user,1,0.5868,text,Check card status and reissue or unblock if appropriate.,2.8047,,,0.5310231447219849,card_declined,"My debit card was declined at the POS terminal on 14 August even though I had up to 1,500 naira in my account.",,,,,
25,CUST00080,ussd_user,0,0.5862,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.2369,,1.5654,0.5277189016342163,app_downtime,"Your app keeps crashing whenever I try to log in,.",,,,0.5328136128911133,"[[""avg_resolution_delay"", 0.416], [""app_sessions_change"", 0.3365], [""txn_frequency_change"", 0.1709]]"
26,CUST00667,mobile_app_user,0,0.5831,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.7897,,,,,,,0.528182339670029,"[[""txn_frequency_change"", 0.5003], [""app_sessions_change"", 0.3535], [""avg_resolution_delay"", 0.0829]]"
27,CUST00563,mobile_app_user,0,0.5751,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.1976,0.1593,1.3998,0.5499823689460754,unauthorised_deduction,"Someone deducted 1,500 naira from my account without my consent, I noticed it on 25 July and I am worried.",0.42532193660736084,other,"why did you charge me 5,000 naira extra on 31 July nobody explained this fee to me before",0.5128107282468425,"[[""avg_resolution_delay"", 0.4681], [""txn_frequency_change"", 0.2827], [""app_sessions_change"", 0.108]]"
28,CUST00158,ussd_user,0,0.5708,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.7392,,,,,,,0.5186195624722935,"[[""txn_frequency_change"", 0.5196], [""app_sessions_change"", 0.3655], [""days_since_last_complaint"", -0.0494]]"
29,CUST00670,mobile_app_user,0,0.5692,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2603,,1.4723,0.5377162098884583,failed_transaction,"Why was I charged 8,000 naira in SMS/alert fees on 29 July, this is more than what I was told.",,,,0.5011322199478355,"[[""txn_frequency_change"", 0.3002], [""avg_resolution_delay"", 0.2256], [""app_sessions_change"", 0.1884]]"
30,CUST00031,ussd_user,1,0.5691,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2369,,1.4955,0.5277189016342163,app_downtime,My debit card was declined at the POS terminal on 19.,,,,0.509050789335456,"[[""txn_frequency_change"", 0.5896], [""app_sessions_change"", 0.2101], [""days_since_last_complaint"", -0.053]]"
31,CUST00882,mobile_app_user,1,0.5636,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.7099,,,,,,,0.513073754988167,"[[""avg_resolution_delay"", 0.3069], [""app_sessions_change"", 0.2503], [""txn_frequency_change"", 0.2229]]"
32,CUST00892,mobile_app_user,0,0.5632,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.0743,,1.6338,0.45835113525390625,failed_transaction,"My bank transfer of 12,000 naira did not go through on 02 August, the money left my account but the receiver never got it.",,,,0.556102211844123,"[[""avg_resolution_delay"", 0.4773], [""txn_frequency_change"", 0.2214], [""app_sessions_change"", 0.1915]]"
33,CUST00467,ussd_user,0,0.5605,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.0676,,1.6298,0.455492228269577,unauthorised_deduction,"Someone deducted 8,000 naira from my account without my consent,.",,,,0.5547440607472748,"[[""txn_frequency_change"", 0.549], [""avg_resolution_delay"", 0.5134], [""app_sessions_change"", -0.0609]]"
34,CUST00556,ussd_user,1,0.5594,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.1808,0.1656,1.3462,0.542249321937561,other,"I could not use my card to pay 65,000 naira.",0.44214773178100586,other,"somebody took 5,000 naira from my account on 25",0.49320747001871457,"[[""txn_frequency_change"", 0.4214], [""avg_resolution_delay"", 0.3069], [""failed_transfers_count"", 0.0905]]"
35,CUST00599,ussd_user,1,0.5561,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.6793,,,,,,,0.5072905034458361,"[[""txn_frequency_change"", 0.6364], [""avg_resolution_delay"", 0.0946], [""failed_transfers_count"", 0.0905]]"
36,CUST00389,ussd_user,1,0.5518,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,0.2378,2.4243,,,,0.37310001254081726,other,i just want to update my,0.5219882125758766,"[[""txn_frequency_change"", 0.5441], [""avg_resolution_delay"", 0.2591], [""failed_transfers_count"", 0.0905]]"
37,CUST00827,mobile_app_user,1,0.551,text,Trace the failed transaction and initiate reversal if applicable.,1.395,,1.2638,0.5952024459838867,failed_transaction,"My card got blocked after a failed transaction on 27 July and I could not withdraw 1,500 naira that I needed urgently.",,,,0.43018240235945526,"[[""avg_resolution_delay"", 0.4882], [""failed_transfers_count"", -0.0618], [""days_since_last_complaint"", -0.0491]]"
38,CUST00675,mobile_app_user,0,0.546,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.2629,,1.3758,0.538820207118988,failed_transaction,"I am still waiting for a refund of 25,000 naira from a failed transaction on 07 August, it has been too long.",,,,0.46829757941191985,"[[""app_sessions_change"", 0.4158], [""txn_frequency_change"", 0.2298], [""days_since_last_complaint"", -0.05]]"
39,CUST00049,ussd_user,0,0.5443,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.8952,0.1894,1.5471,0.41111472249031067,other,I'm satisfied with how my last.,0.5057737827301025,other,"please i saw a debit of 8,000 naira i did",0.5667921822941405,"[[""txn_frequency_change"", 0.4333], [""app_sessions_change"", 0.2558], [""avg_resolution_delay"", 0.2222]]"
40,CUST00772,mobile_app_user,0,0.5395,text,Review call transcript; officer to follow up directly with the customer.,1.3349,,1.2773,0.569557785987854,other,"I could not use my card to pay 8,000 naira online on 06 August, it kept getting declined for no reason.",,,,0.43476072857246534,"[[""avg_resolution_delay"", 0.2037], [""failed_transfers_count"", 0.1666], [""txn_frequency_change"", 0.0838]]"
41,CUST00475,mobile_app_user,0,0.5389,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.6098,,,,,,,0.4941172805909559,"[[""avg_resolution_delay"", 0.2893], [""txn_frequency_change"", 0.2571], [""app_sessions_change"", 0.1498]]"
42,CUST00458,ussd_user,1,0.5359,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.5981,,,,,,,0.49190419273800046,"[[""txn_frequency_change"", 0.3663], [""avg_resolution_delay"", 0.2457], [""app_sessions_change"", 0.0928]]"
43,CUST00523,mobile_app_user,1,0.5352,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,0.1578,2.4373,,,,0.24765735864639282,other,thank you for helping me last time everything is fine now,0.5247944892626152,"[[""txn_frequency_change"", 0.4726], [""app_sessions_change"", 0.2167], [""avg_resolution_delay"", 0.1467]]"
44,CUST00433,mobile_app_user,1,0.533,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.745,,1.8414,0.3178580403327942,other,"I'm satisfied with how my last dispute was handled, appreciate the quick turnaround.",,,,0.6267605691018089,"[[""avg_resolution_delay"", 0.5763], [""txn_frequency_change"", 0.4396], [""app_sessions_change"", 0.2309]]"
45,CUST00177,ussd_user,0,0.5299,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.7388,,1.835,0.31522080302238464,other,Just checking my account balance and.,,,,0.6245781644071905,"[[""avg_resolution_delay"", 0.4647], [""txn_frequency_change"", 0.4259], [""app_sessions_change"", 0.206]]"
46,CUST00725,ussd_user,0,0.522,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.5076,0.1532,1.8812,0.2330922782421112,other,The app has been working well.,0.40903666615486145,other,"good day please my transfer of 8,000 naira on 04",0.6891883807184096,"[[""avg_resolution_delay"", 0.8222], [""txn_frequency_change"", 0.377], [""app_sessions_change"", 0.2652]]"
47,CUST00522,mobile_app_user,0,0.5175,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.8761,,1.6482,0.37377864122390747,other,"I wanted to confirm my new debit card has been activated, thanks for the help.",,,,0.561013876878811,"[[""avg_resolution_delay"", 0.5184], [""txn_frequency_change"", 0.3607], [""declines_count"", 0.0597]]"
48,CUST00379,ussd_user,1,0.5174,txn,Verify and process pending reversal; contact customer to confirm resolution.,1.0542,,1.4693,0.44980722665786743,unauthorised_deduction,"Someone deducted 25,000 naira from my account without my consent,.",,,,0.5001219335113586,"[[""avg_resolution_delay"", 0.2524], [""failed_transfers_count"", 0.2047], [""app_sessions_change"", 0.1784]]"
49,CUST00274,ussd_user,1,0.5147,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.0227,,1.4903,0.4363488554954529,other,"The reversal for my 65,000 naira failed transfer on.",,,,0.5072589589086419,"[[""txn_frequency_change"", 0.5406], [""app_sessions_change"", 0.1175], [""avg_resolution_delay"", 0.1081]]"
50,CUST00558,mobile_app_user,1,0.5113,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,0.2751,2.224,,,,0.43163052201271057,delayed_refund,"i am still waiting for 40,000 naira reversal from 23 August please when will it enter my account",0.4788614618432671,"[[""txn_frequency_change"", 0.4752], [""avg_resolution_delay"", 0.2767], [""app_sessions_change"", -0.0679]]"
51,CUST00387,ussd_user,1,0.5074,text,Escalate to fraud/dispute team for urgent investigation.,1.3045,,1.1793,0.556593656539917,unauthorised_deduction,"There is a strange debit of 65,000 naira on.",,,,0.40140618607150347,"[[""app_sessions_change"", 0.2952], [""avg_resolution_delay"", 0.192], [""txn_frequency_change"", -0.1224]]"
52,CUST00335,mobile_app_user,0,0.5061,text,Escalate to fraud/dispute team for urgent investigation.,1.2297,0.0918,1.157,0.5647246837615967,unauthorised_deduction,"There is a strange debit of 5,000 naira on my account from 19 July that I did not authorise.",0.24502062797546387,other,good afternoon i just want to confirm my balance thank you,0.42386967738768283,"[[""avg_resolution_delay"", 0.505], [""app_sessions_change"", 0.1587], [""txn_frequency_change"", -0.1327]]"
53,CUST00706,mobile_app_user,1,0.5059,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.8228,0.169,1.486,0.37783440947532654,card_declined,"The ATM rejected my card on 15 August and kept saying insufficient funds when I had over 65,000 naira available.",0.4511733949184418,unauthorised_deduction,"somebody took 12,000 naira from my account on 08 August i did not authorise it at all please",0.5443984868138463,"[[""avg_resolution_delay"", 0.5176], [""txn_frequency_change"", 0.3909], [""failed_transfers_count"", 0.0905]]"
54,CUST00440,mobile_app_user,1,0.5056,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.4766,,,,,,,0.4688962478618082,"[[""txn_frequency_change"", 0.4426], [""app_sessions_change"", 0.1379], [""avg_resolution_delay"", 0.1366]]"
55,CUST00064,ussd_user,1,0.5048,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.8133,0.1516,1.5083,0.3735044598579407,delayed_refund,"I was promised a refund of 100,000 naira after.",0.40474414825439453,app_downtime,the ussd is not working since 30,0.5525700099963397,"[[""avg_resolution_delay"", 0.3741], [""txn_frequency_change"", 0.2771], [""app_sessions_change"", 0.2412]]"
56,CUST00142,mobile_app_user,0,0.5015,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.46,,,,,,,0.4657599151998338,"[[""txn_frequency_change"", 0.5785], [""failed_transfers_count"", 0.1286], [""app_sessions_change"", -0.0931]]"
57,CUST00183,mobile_app_user,1,0.5012,text,Check card status and reissue or unblock if appropriate.,1.1562,0.168,1.1345,0.5309513807296753,card_declined,"My debit card was declined at the POS terminal on 22 August even though I had up to 1,500 naira in my account.",0.448411762714386,unauthorised_deduction,"somebody took 25,000 naira from my account on 11 August i did not authorise it at all please",0.4156453910182725,"[[""txn_frequency_change"", 0.315], [""failed_transfers_count"", 0.0524], [""days_since_last_complaint"", -0.0466]]"
58,CUST00188,ussd_user,1,0.5009,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.4578,,,,,,,0.4653422145014288,"[[""avg_resolution_delay"", 0.3716], [""failed_transfers_count"", 0.1286], [""app_sessions_change"", 0.0787]]"
59,CUST00149,ussd_user,0,0.5,,No urgent action; continue routine monitoring.,,,,,,,,,,,
60,CUST00584,ussd_user,0,0.491,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.7762,0.1242,1.5179,0.35643383860588074,other,I would like to update my phone.,0.33147820830345154,other,good afternoon i just want,0.5560889395638434,"[[""app_sessions_change"", 0.4039], [""txn_frequency_change"", 0.3423], [""failed_transfers_count"", 0.1286]]"
61,CUST00107,mobile_app_user,0,0.4885,txn,Verify and process pending reversal; contact customer to confirm resolution.,,0.2712,2.1368,,,,0.4256077706813812,delayed_refund,"please my refund of 8,000 naira since 14 July has not come i have been calling since",0.4600774076551234,"[[""avg_resolution_delay"", 0.2843], [""app_sessions_change"", 0.2779], [""failed_transfers_count"", 0.1286]]"
62,CUST00455,mobile_app_user,1,0.4884,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.4075,,,,,,,0.4558205371813557,"[[""avg_resolution_delay"", 0.4387], [""txn_frequency_change"", 0.3876], [""app_sessions_change"", -0.1626]]"
63,CUST00632,mobile_app_user,1,0.4823,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.8223,0.1687,1.3924,0.3776092231273651,card_declined,"The ATM rejected my card on 21 July and kept saying insufficient funds when I had over 5,000 naira available.",0.450341135263443,unauthorised_deduction,"somebody took 1,500 naira from my account on 21 July i did not authorise it at all please",0.510114810468083,"[[""app_sessions_change"", 0.2749], [""txn_frequency_change"", 0.2671], [""avg_resolution_delay"", 0.1987]]"
64,CUST00707,ussd_user,0,0.4792,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.8305,,1.5405,0.3543267548084259,other,I wanted to confirm my new debit.,,,,0.5243457829444294,"[[""txn_frequency_change"", 0.5102], [""avg_resolution_delay"", 0.2801], [""failed_transfers_count"", 0.0524]]"
65,CUST00592,ussd_user,0,0.474,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.35,,,,,,,0.4449249684672886,"[[""txn_frequency_change"", 0.3947], [""declines_count"", 0.0597], [""app_sessions_change"", 0.0438]]"
66,CUST00822,mobile_app_user,0,0.4723,text,Trace the failed transaction and initiate reversal if applicable.,1.2597,,1.0833,0.5374823212623596,failed_transaction,"I am still waiting for a refund of 100,000 naira from a failed transaction on 13 July, it has been too long.",,,,0.3687291323378492,"[[""app_sessions_change"", 0.2262], [""days_since_last_complaint"", -0.0423], [""failed_transfers_count"", -0.0237]]"
67,CUST00777,ussd_user,0,0.4688,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.329,,,,,,,0.44095385596071407,"[[""txn_frequency_change"", 0.3659], [""avg_resolution_delay"", 0.223], [""app_sessions_change"", -0.1093]]"
68,CUST00339,ussd_user,0,0.4656,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.5571,0.0854,1.6738,0.2558504641056061,other,Thank you for resolving my last.,0.22792907059192657,other,thank you for helping me,0.613195191931044,"[[""txn_frequency_change"", 0.7248], [""avg_resolution_delay"", 0.2809], [""app_sessions_change"", 0.2302]]"
69,CUST00601,ussd_user,1,0.461,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.9139,,1.3837,0.38994118571281433,other,The bank charged me twice for the same.,,,,0.4709719954659726,"[[""avg_resolution_delay"", 0.2642], [""txn_frequency_change"", 0.2411], [""failed_transfers_count"", 0.0905]]"
70,CUST00408,ussd_user,0,0.4575,txn,Verify and process pending reversal; contact customer to confirm resolution.,,0.2443,2.0394,,,,0.38335758447647095,card_declined,my card was declined at the pos on 18 July,0.43911937139927415,"[[""avg_resolution_delay"", 0.3875], [""txn_frequency_change"", 0.2216], [""failed_transfers_count"", -0.0618]]"
71,CUST00418,mobile_app_user,0,0.4569,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.2814,,,,,,,0.43194002095620815,"[[""avg_resolution_delay"", 0.3875], [""txn_frequency_change"", 0.1559], [""app_sessions_change"", -0.1361]]"
72,CUST00470,ussd_user,0,0.4495,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.9139,,1.3374,0.38994118571281433,other,The bank charged me twice for the same.,,,,0.45520589787526733,"[[""txn_frequency_change"", 0.4182], [""app_sessions_change"", 0.1582], [""avg_resolution_delay"", 0.0544]]"
73,CUST00363,mobile_app_user,1,0.4492,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,,,2.2503,,,,,,,0.42606161936824494,"[[""app_sessions_change"", 0.3168], [""avg_resolution_delay"", 0.077], [""txn_frequency_change"", 0.0694]]"
74,CUST00006,mobile_app_user,1,0.4487,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,1.0154,,1.2329,0.43322592973709106,unfair_charge,"I was charged 8,000 naira in hidden fees on 13 July that nobody explained to me before now.",,,,0.4196344119461864,"[[""txn_frequency_change"", 0.2064], [""failed_transfers_count"", 0.1286], [""app_sessions_change"", 0.1074]]"
75,CUST00091,mobile_app_user,0,0.4471,text,Trace the failed transaction and initiate reversal if applicable.,1.2534,0.1619,0.8263,0.5755921006202698,failed_transaction,"I sent money using USSD on 11 August and it said the transaction failed, but my balance still went down by 5,000 naira.",0.4322277903556824,delayed_refund,"i am still waiting for 12,000 naira reversal from 09 August please when will it enter my account",0.30271834612605736,"[[""days_since_last_complaint"", 0.2726], [""avg_resolution_delay"", -0.2284], [""failed_transfers_count"", -0.0618]]"
76,CUST00323,ussd_user,1,0.4442,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.7388,,1.4912,0.31522080302238464,other,Just checking my account balance and.,,,,0.5075638677434505,"[[""txn_frequency_change"", 0.5278], [""avg_resolution_delay"", 0.3137], [""failed_transfers_count"", -0.0618]]"
77,CUST00385,mobile_app_user,1,0.4435,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.4673,0.1596,1.6004,0.2145872712135315,other,Can I get a statement of account for the last three months please.,0.42605552077293396,other,"why did you charge me 65,000 naira extra on 30 July nobody explained this fee to me before",0.586310795440457,"[[""txn_frequency_change"", 0.5276], [""avg_resolution_delay"", 0.4328], [""app_sessions_change"", 0.1826]]"
78,CUST00436,mobile_app_user,1,0.4415,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.219,,,,,,,0.4201284223517325,"[[""avg_resolution_delay"", 0.2742], [""app_sessions_change"", 0.1252], [""failed_transfers_count"", 0.0524]]"
79,CUST00847,ussd_user,1,0.4351,txn,Verify and process pending reversal; contact customer to confirm resolution.,,,2.193,,,,,,,0.41520627236243685,"[[""avg_resolution_delay"", 0.2054], [""app_sessions_change"", 0.1138], [""txn_frequency_change"", 0.0877]]"
80,CUST00787,ussd_user,0,0.4349,text,Review call transcript; officer to follow up directly with the customer.,1.8527,0.3395,,0.41111472249031067,other,I'm satisfied with how my last.,0.43802404403686523,delayed_refund,"i am still waiting for 100,000 naira reversal from",,
81,CUST00395,mobile_app_user,1,0.4346,text,Expedite pending refund and provide a status update to the customer.,2.1908,,,0.4147929251194,delayed_refund,"The NIP transfer I did on 23 August for 1,500 naira failed but I have not been reversed since then.",,,,,
82,CUST00591,ussd_user,0,0.4342,txn,Investigate app/session drop-off; check for outages affecting this customer's channel.,0.9796,,1.2099,0.41797715425491333,other,"The NIP transfer I did on 21 July for 12,000.",,,,0.4118064978683214,"[[""app_sessions_change"", 0.1942], [""avg_resolution_delay"", 0.1735], [""declines_count"", 0.0597]]"
83,CUST00287,ussd_user,0,0.4326,text,Review call transcript; officer to follow up directly with the customer.,2.1829,,,0.41328689455986023,other,The USSD code has not been working since.,,,,,
84,CUST00620,ussd_user,0,0.4198,text,Review call transcript; officer to follow up directly with the customer.,2.1303,,,0.403341144323349,other,"Why was I charged 8,000 naira in SMS/alert fees on.",,,,,
85,CUST00633,ussd_user,1,0.4187,txn,Verify and process pending reversal; contact customer to confirm resolution.,0.8873,0.1518,1.0867,0.40747392177581787,app_downtime,The mobile banking app has been down since 09.,0.40519922971725464,other,i sent money since 02 August the app say failed,0.39812885495585654,"[[""avg_resolution_delay"", 0.5453], [""txn_frequency_change"", -0.2088], [""failed_transfers_count"", -0.0237]]"
86,CUST00534,ussd_user,0,0.4111,text,Review call transcript; officer to follow up directly with the customer.,1.2571,0.1397,0.6979,0.5773029923439026,other,"I tried to send 1,500 naira through the mobile app on.",0.37310001254081726,other,i just want to update my,0.25568953074948586,"[[""avg_resolution_delay"", -0.2175], [""app_sessions_change"", -0.1088], [""txn_frequency_change"", -0.0747]]"
