customer_id,failed_transfers_count,declines_count,txn_frequency_change,app_sessions_change,days_since_last_complaint,avg_resolution_delay
CUST00126,1,2,-0.4413,-0.2751,0.5,77.3
CUST00127,1,1,0.3313,-0.1509,41.0,7.1
CUST00128,0,0,0.2621,0.0434,5.1,4.0
CUST00129,0,0,0.0537,0.0373,11.1,10.6
CUST00130,3,4,-0.41,-0.3172,1.3,67.8
CUST00131,0,1,0.0985,-0.0878,16.7,24.7
CUST00132,0,0,0.0992,-0.0421,108.7,6.0
CUST00133,4,1,-0.2084,-0.1621,0.6,65.3
CUST00134,1,0,-0.0047,-0.1784,16.4,12.1
CUST00135,1,0,0.1428,0.2773,34.5,7.9
CUST00136,0,0,0.0556,0.0696,70.2,9.7
CUST00137,0,0,-0.1719,0.167,4.4,20.0
CUST00138,0,1,-0.0581,-0.358,8.4,65.9
CUST00139,0,1,0.0698,-0.0985,38.1,13.2
CUST00140,2,2,-0.2972,-0.0014,6.6,16.3
CUST00141,1,0,0.1623,0.0155,78.7,14.5
CUST00142,5,3,-0.4152,-0.0049,3.2,38.3
CUST00143,3,1,0.036,-0.4354,5.9,110.1
CUST00144,5,1,-0.3487,-0.1662,2.3,58.2
CUST00145,1,2,-0.4583,-0.4606,4.3,60.3
CUST00146,5,4,-0.2971,-0.2986,12.4,100.3
CUST00147,3,2,-0.0973,-0.1361,7.5,77.9
CUST00148,1,0,-0.1211,-0.0015,25.6,10.3
CUST00149,0,0,0.0745,0.0346,84.5,20.4
CUST00150,0,0,-0.1235,0.07,53.2,11.1
CUST00151,7,2,0.0609,-0.192,5.0,74.0
CUST00152,1,0,0.096,0.1194,99.4,23.3
CUST00153,0,0,-0.0044,0.1611,86.8,13.6
CUST00154,3,4,-0.3825,-0.0125,2.4,57.9
CUST00155,1,1,0.0286,0.0864,164.3,16.7
CUST00156,1,0,0.0663,0.1487,9.0,11.8
CUST00157,1,0,0.01,-0.0071,0.1,6.8
CUST00158,2,2,-0.3835,-0.6171,2.8,31.4
CUST00159,1,0,0.0893,-0.0662,10.6,3.1
CUST00160,2,3,-0.2628,-0.2876,0.3,46.1
CUST00161,2,0,0.0474,-0.0203,103.8,10.1
CUST00162,1,0,0.0333,0.095,2.5,8.9
CUST00163,3,0,-0.0194,-0.1621,7.0,18.6
CUST00164,1,0,0.2005,-0.0461,3.7,20.5
CUST00165,4,1,-0.3189,-0.126,13.2,48.4
CUST00166,0,0,0.0079,-0.0334,0.0,7.7
CUST00167,5,3,-0.2961,-0.2091,3.9,96.3
CUST00168,0,0,0.1931,0.1568,5.7,5.4
CUST00169,4,2,-0.5643,-0.2966,8.1,40.9
CUST00170,3,3,-0.2941,-0.4526,11.7,43.4
CUST00171,0,1,-0.0699,0.0744,91.3,27.1
CUST00172,0,0,-0.0773,-0.0444,68.9,19.2
CUST00173,0,1,0.0099,-0.0551,13.0,22.1
CUST00174,0,1,-0.0518,0.0731,14.6,13.5
CUST00175,1,2,-0.3676,-0.2962,10.9,52.7
CUST00176,3,1,-0.0724,-0.1919,2.5,68.7
CUST00177,7,1,-0.333,-0.4042,7.4,91.7
CUST00178,0,0,-0.0262,0.003,41.6,7.6
CUST00179,0,0,0.0428,0.146,32.4,4.9
CUST00180,0,0,-0.0404,0.0124,89.9,2.9
CUST00181,1,0,0.0935,0.2277,3.1,18.9
CUST00182,0,0,0.0029,0.0939,84.3,4.8
CUST00183,3,2,-0.2733,-0.1683,4.7,41.5
CUST00184,2,2,-0.2181,-0.4652,11.5,84.7
CUST00185,1,0,0.0311,0.3232,1.2,14.0
CUST00186,3,1,-0.3847,-0.3303,14.8,82.2
CUST00187,4,0,-0.4281,-0.6196,12.2,82.4
CUST00188,5,4,-0.1143,-0.2342,13.3,80.6
CUST00189,5,2,-0.1877,-0.6106,0.6,103.2
CUST00190,2,1,-0.2072,-0.2526,38.4,40.3
CUST00191,0,0,0.0607,-0.0892,37.4,24.9
CUST00192,1,1,-0.1358,-0.742,2.1,61.2
CUST00193,1,0,0.0005,0.0754,3.4,17.0
CUST00194,0,0,-0.0509,-0.0244,216.8,17.2
CUST00195,0,0,0.0187,0.0366,4.5,19.3
CUST00196,0,0,-0.1128,-0.0148,6.6,25.5
CUST00197,2,0,0.0155,-0.2504,54.9,22.1
CUST00198,0,1,0.0803,0.0325,41.6,0.0
CUST00199,0,3,-0.2161,-0.3247,10.4,35.9
CUST00200,0,0,0.1552,-0.1316,30.6,17.7
CUST00201,0,1,0.0566,0.0315,53.1,13.1
CUST00202,8,4,-0.273,-0.3072,5.2,94.3
CUST00203,2,3,-0.4773,-0.5962,4.2,115.4
CUST00204,5,3,-0.2666,-0.3675,4.5,49.0
CUST00205,0,0,0.0319,0.0648,14.8,3.7
CUST00206,0,0,-0.0227,0.024,7.5,0.0
CUST00207,0,0,0.1363,-0.0614,108.7,14.8
CUST00208,0,1,0.1427,-0.0053,64.3,15.3
CUST00209,1,0,0.0991,0.1051,6.2,18.3
CUST00210,2,1,-0.2336,0.0865,22.1,74.5
CUST00211,1,3,-0.5272,-0.0264,16.7,69.1
CUST00212,0,0,-0.0201,0.0548,71.7,14.6
CUST00213,0,0,-0.0791,-0.0064,100.9,13.9
CUST00214,1,0,0.1219,0.0823,138.2,10.1
CUST00215,4,2,-0.5699,-0.5922,1.0,47.0
CUST00216,0,0,0.1218,0.0114,152.7,1.4
CUST00217,1,0,0.0268,0.0021,35.3,10.9
CUST00218,0,0,0.0955,0.0481,68.0,17.6
CUST00219,0,0,0.1201,0.3045,42.3,12.6
CUST00220,4,2,-0.3223,-0.4464,5.5,86.7
CUST00221,0,0,0.167,0.1125,136.3,19.4
CUST00222,0,0,-0.1386,0.0575,34.4,4.4
CUST00223,0,1,-0.116,-0.0855,109.4,11.6
CUST00224,1,0,0.0076,-0.0532,37.6,13.5
CUST00225,0,0,-0.0625,-0.0767,73.3,10.6
CUST00226,3,0,-0.1913,-0.4684,24.5,62.3
CUST00227,2,3,-0.2327,-0.2074,3.1,47.4
CUST00228,1,1,-0.2716,-0.5162,29.7,64.2
CUST00229,0,3,0.1142,0.0863,21.4,10.2
CUST00230,2,1,-0.2468,-0.241,23.1,63.0
CUST00231,0,0,0.1255,0.0551,26.7,15.2
CUST00232,0,1,0.1808,-0.177,113.3,11.7
CUST00233,6,5,-0.4352,-0.6327,0.7,107.4
CUST00234,0,0,-0.0868,-0.0606,59.7,3.0
CUST00235,3,1,-0.239,0.1278,3.5,63.2
CUST00236,1,0,0.1468,-0.0121,59.8,13.6
CUST00237,6,1,-0.2847,-0.6087,4.8,66.7
CUST00238,1,0,0.1366,0.0913,6.6,11.2
CUST00239,1,0,-0.1715,-0.002,32.0,10.7
CUST00240,2,2,-0.2708,-0.4731,3.2,82.1
CUST00241,0,0,0.1276,-0.2219,110.5,23.8
CUST00242,0,0,-0.0206,-0.0534,96.1,17.9
CUST00243,1,0,0.085,0.0129,242.6,7.1
CUST00244,0,1,-0.1341,0.0294,54.4,11.1
CUST00245,1,4,-0.2344,-0.5475,33.8,67.9
CUST00246,0,1,0.1705,0.0279,99.0,30.8
CUST00247,0,0,-0.1541,0.0518,188.2,0.0
CUST00248,1,0,0.1054,0.0067,29.3,12.4
CUST00249,0,0,0.245,-0.0468,30.2,21.3
CUST00250,0,1,-0.0349,-0.0849,40.5,13.8
CUST00251,1,0,0.0792,0.1319,95.1,4.8
CUST00252,0,0,0.0895,0.2044,11.4,8.9
CUST00253,4,2,-0.0878,-0.305,1.6,64.2
CUST00254,3,0,-0.6367,-0.2547,6.3,71.0
CUST00255,0,3,-0.0045,-0.5584,15.3,92.5
CUST00256,1,5,-0.2667,-0.6129,0.7,53.5
CUST00257,3,0,-0.5132,-0.438,2.9,109.0
CUST00258,1,0,0.012,-0.0083,20.7,13.5
CUST00259,0,0,-0.0186,0.1747,206.9,22.2
CUST00260,0,1,0.1736,0.0511,152.5,22.9
CUST00261,0,1,0.2408,0.1048,2.7,18.5
CUST00262,0,3,-0.4816,-0.2388,1.2,124.3
CUST00263,0,0,0.1486,0.0738,117.7,9.5
CUST00264,8,2,-0.328,0.0319,9.7,53.8
CUST00265,2,4,-0.1892,-0.3725,6.2,98.0
CUST00266,1,0,0.0362,0.0275,11.9,2.5
CUST00267,0,3,-0.2391,-0.6906,10.8,82.4
CUST00268,3,0,-0.226,-0.2275,8.3,42.3
CUST00269,0,0,-0.2573,0.0379,4.8,15.6
CUST00270,5,3,-0.2099,-0.2188,5.1,32.5
CUST00271,1,0,0.014,0.053,14.2,27.1
CUST00272,0,0,-0.064,-0.0232,28.2,27.9
CUST00273,0,0,0.1346,0.204,146.6,7.7
CUST00274,2,4,-0.3948,-0.286,3.8,49.2
CUST00275,5,4,-0.3469,-0.2084,0.4,76.1
CUST00276,2,4,-0.1139,-0.2614,2.2,53.7
CUST00277,0,0,0.0768,0.0925,73.2,15.4
CUST00278,2,0,-0.6918,-0.5013,36.1,62.2
CUST00279,1,0,0.14,0.1013,84.7,9.8
CUST00280,1,1,-0.2425,-0.2189,9.7,109.3
CUST00281,0,0,0.0868,-0.0789,17.3,0.0
CUST00282,3,3,-0.2698,-0.6313,13.3,70.3
CUST00283,1,1,0.0525,0.0743,111.5,19.8
CUST00284,0,0,0.0675,-0.2157,148.7,10.8
CUST00285,0,0,-0.139,-0.1116,36.3,3.3
CUST00286,2,0,-0.1498,-0.1395,0.2,53.8
CUST00287,4,1,-0.267,-0.4999,11.2,117.4
CUST00288,2,4,-0.1031,-0.2081,1.6,45.8
CUST00289,4,0,-0.3963,-0.2199,9.1,46.1
CUST00290,3,2,-0.1996,-0.3972,23.0,75.6
CUST00291,3,2,-0.4045,-0.3355,47.2,115.4
CUST00292,5,2,-0.1316,-0.8678,3.3,56.4
CUST00293,0,0,0.0005,0.1027,29.7,11.5
CUST00294,0,0,-0.0197,0.0628,6.9,0.0
CUST00295,5,4,-0.1563,-0.6973,4.7,88.1
CUST00296,5,4,-0.2578,-0.101,1.3,70.7
CUST00297,3,4,-0.2741,-0.2369,0.6,88.7
CUST00298,0,0,0.0499,0.0709,23.4,20.6
CUST00299,6,0,-0.1922,-0.1593,6.2,54.4
CUST00300,1,0,-0.004,-0.0123,32.1,15.7
CUST00301,6,4,-0.502,0.0033,12.0,50.1
CUST00302,2,2,-0.289,0.2792,4.3,75.0
CUST00303,1,0,0.1437,0.0271,73.6,7.2
CUST00304,0,0,-0.0836,0.058,45.0,7.6
CUST00305,1,0,0.1511,0.0587,88.7,9.8
CUST00306,2,6,-0.2589,0.3283,9.8,77.1
CUST00307,1,1,-0.1445,-0.2206,14.9,48.3
CUST00308,0,0,0.109,-0.0461,20.0,13.0
CUST00309,2,2,-0.2646,-0.0276,11.5,69.1
CUST00310,1,1,0.0474,0.1273,16.7,22.6
CUST00311,1,1,0.0888,0.0599,19.4,25.5
CUST00312,2,1,-0.458,-0.0332,10.8,69.3
CUST00313,1,0,0.2424,-0.0124,7.6,28.0
CUST00314,2,2,-0.3176,-0.1215,10.2,55.3
CUST00315,0,0,-0.1119,-0.0629,17.5,17.0
CUST00316,4,1,-0.4428,-0.2189,15.2,98.3
CUST00317,0,0,0.0322,0.016,20.8,7.0
CUST00318,0,1,0.0984,0.0194,75.3,17.8
CUST00319,5,3,-0.1963,-0.3522,4.3,66.9
CUST00320,3,3,-0.4278,-0.1859,9.5,70.4
CUST00321,1,3,-0.1915,-0.1753,1.3,59.2
CUST00322,3,1,-0.2688,-0.0349,9.4,48.3
CUST00323,0,1,-0.3879,-0.198,1.5,73.7
CUST00324,3,2,-0.1959,-0.4466,15.5,73.6
CUST00325,0,1,0.1365,-0.0144,44.6,17.0
CUST00326,1,6,-0.232,-0.3576,27.9,76.4
CUST00327,1,0,-0.0192,-0.0483,68.9,18.2
CUST00328,1,0,-0.2197,-1.1978,1.9,112.2
CUST00329,2,4,-0.5189,-0.3112,4.3,83.2
CUST00330,0,1,0.0314,-0.0447,5.8,7.6
CUST00331,4,1,-0.0083,-0.3903,26.6,101.6
CUST00332,4,0,-0.2226,0.1941,18.8,64.7
CUST00333,3,2,-0.5588,-0.2295,3.0,30.8
CUST00334,2,1,-0.2313,-0.0966,16.4,50.8
CUST00335,0,1,-0.0322,-0.341,18.3,96.5
CUST00336,0,0,0.0444,0.1969,32.9,4.7
CUST00337,2,2,-0.3505,-0.5988,18.4,94.6
CUST00338,1,3,-0.3374,-0.5859,0.2,65.5
CUST00339,1,4,-0.494,-0.4365,3.8,69.8
CUST00340,1,0,-0.0955,-0.0641,121.1,18.2
CUST00341,0,1,0.2518,0.0377,70.5,13.4
CUST00342,5,1,-0.3152,-0.1543,14.3,114.0
CUST00343,0,2,0.0338,0.0335,3.0,10.1
CUST00344,0,0,0.0258,0.1907,66.5,2.4
CUST00345,0,0,-0.1084,-0.0961,73.5,18.1
CUST00346,2,2,-0.216,-0.3614,2.2,49.9
CUST00347,4,2,-0.3392,-0.4329,24.6,39.2
CUST00348,3,1,-0.5005,-0.2752,2.9,74.5
CUST00349,0,0,-0.1141,0.0905,1.4,12.4
CUST00350,0,0,0.1114,-0.1136,7.4,12.7
CUST00351,0,0,0.2633,0.0138,27.4,1.2
CUST00352,3,2,-0.3605,-0.5304,5.1,94.2
CUST00353,0,0,-0.0584,-0.1132,12.6,14.3
CUST00354,1,1,-0.0573,-0.1173,30.8,17.7
CUST00355,4,4,0.0869,-0.059,1.4,64.0
CUST00356,0,0,0.2498,0.1202,10.3,9.9
CUST00357,8,5,-0.3762,-0.4803,3.7,65.5
CUST00358,3,1,-0.5571,-0.3827,18.1,107.6
CUST00359,3,5,-0.3057,-0.149,29.8,65.1
CUST00360,4,2,-0.3962,-0.1148,21.6,56.2
CUST00361,0,0,0.1985,-0.0116,7.5,18.1
CUST00362,1,0,-0.0817,-0.0837,23.9,21.1
CUST00363,1,4,-0.141,-0.5521,13.3,45.5
CUST00364,2,1,-0.1995,0.3004,4.8,67.4
CUST00365,1,0,0.1986,0.0303,60.1,2.8
CUST00366,3,6,-0.0968,-0.3044,1.3,108.7
CUST00367,4,1,-0.3173,-0.6767,2.7,29.6
CUST00368,0,1,-0.0317,0.227,271.2,24.4
CUST00369,1,3,-0.0384,-0.1951,0.6,60.1
CUST00370,0,0,0.1012,0.2274,16.3,0.0
CUST00371,6,4,-0.0163,-0.3054,20.1,63.1
CUST00372,4,3,-0.3193,-0.5009,6.4,65.5
CUST00373,0,2,-0.0218,0.0044,1.8,60.0
CUST00374,4,0,-0.2683,-0.5671,14.1,73.2
CUST00375,0,5,-0.2903,-0.3257,7.3,53.1
CUST00376,1,0,0.1751,0.1649,28.3,18.1
CUST00377,1,1,-0.0383,0.0614,109.0,20.5
CUST00378,0,0,0.0194,0.1353,116.1,0.4
CUST00379,7,2,-0.1858,-0.3673,0.2,66.4
CUST00380,3,0,-0.1922,-0.672,4.5,80.8
CUST00381,2,0,0.1286,0.1415,48.3,7.8
CUST00382,4,2,-0.655,-0.5363,7.9,71.4
CUST00383,0,0,-0.0208,0.0086,59.1,10.0
CUST00384,4,1,-0.2771,-0.4773,10.3,48.8
CUST00385,0,5,-0.3878,-0.373,6.2,87.9
CUST00386,0,2,-0.0884,-0.0199,13.5,0.0
CUST00387,1,4,-0.0377,-0.5233,11.1,59.2
CUST00388,0,0,-0.1412,0.0154,41.9,21.0
CUST00389,4,5,-0.3967,-0.024,10.0,67.2
CUST00390,4,6,0.0008,-0.3295,3.6,39.2
CUST00391,3,2,-0.3769,-0.6109,7.1,86.4
CUST00392,0,1,0.0377,0.0812,3.2,8.4
CUST00393,0,0,-0.0116,0.0071,125.5,30.8
CUST00394,0,0,-0.002,0.1583,0.9,26.2
CUST00395,4,1,0.0559,-0.2243,4.3,41.5
CUST00396,4,2,-0.353,-0.3198,6.8,32.5
CUST00397,1,0,0.0408,-0.065,158.4,9.0
CUST00398,0,1,0.113,-0.0393,34.9,29.1
CUST00399,0,0,0.027,-0.0557,118.5,0.8
CUST00400,1,4,-0.0235,0.0502,3.3,85.5
CUST00401,2,1,-0.4663,0.1595,1.1,74.6
CUST00402,0,0,0.0904,-0.0912,173.7,6.7
CUST00403,0,0,0.0971,-0.1261,325.5,6.2
CUST00404,3,4,-0.2614,-0.0771,4.3,86.9
CUST00405,2,2,-0.6028,0.0837,12.1,73.1
CUST00406,2,3,-0.276,-0.1078,4.9,83.8
CUST00407,3,3,-0.3003,-0.1449,16.8,68.1
CUST00408,0,3,-0.223,-0.0722,15.6,82.5
CUST00409,2,2,-0.2508,-0.5489,22.8,39.0
CUST00410,0,1,0.0648,0.0009,81.2,9.2
CUST00411,0,1,0.1066,0.1173,5.5,8.4
CUST00412,1,0,0.0521,0.0974,34.1,13.3
CUST00413,3,2,-0.2422,-0.2792,7.5,56.4
CUST00414,0,0,-0.0512,0.1033,12.7,17.9
CUST00415,0,0,0.0085,-0.0753,34.9,0.0
CUST00416,0,0,0.0614,-0.1063,95.9,4.5
CUST00417,1,2,-0.21,-0.5825,1.6,89.9
CUST00418,4,3,-0.1876,0.0525,0.5,82.5
CUST00419,0,0,0.0053,0.1449,0.1,0.0
CUST00420,6,1,-0.3458,-0.2552,22.7,53.9
CUST00421,2,6,-0.3479,-0.5275,2.5,71.4
CUST00422,0,0,-0.073,0.0867,64.6,12.4
CUST00423,0,0,-0.0534,0.0347,32.8,1.3
CUST00424,2,3,-0.4114,-0.361,21.3,46.6
CUST00425,0,1,-0.0902,0.0109,255.2,11.1
CUST00426,3,6,-0.4167,-0.4141,5.6,31.5
CUST00427,2,0,0.0169,0.0033,98.1,6.2
CUST00428,1,5,-0.2788,-0.7873,21.1,86.8
CUST00429,0,0,0.062,0.0645,5.5,18.7
CUST00430,0,1,0.0375,0.0318,98.7,8.9
CUST00431,5,3,-0.3632,-0.3309,6.3,54.0
CUST00432,2,2,-0.2087,-0.425,2.4,59.9
CUST00433,3,2,-0.3404,-0.4374,4.7,105.0
CUST00434,0,2,0.203,-0.0278,133.7,15.3
CUST00435,0,0,0.0953,0.0186,10.6,11.2
CUST00436,3,2,-0.1081,-0.2963,3.7,69.0
CUST00437,3,3,-0.2922,-0.401,3.5,58.5
CUST00438,0,0,-0.0332,0.0205,3.5,0.0
CUST00439,2,3,-0.2116,-0.0748,35.2,100.2
CUST00440,1,0,-0.342,-0.3133,0.4,52.6
CUST00441,1,3,-0.276,-0.5765,0.1,56.2
CUST00442,0,0,0.1003,0.0457,81.4,14.0
CUST00443,0,0,0.0591,-0.021,122.4,2.7
CUST00444,0,1,-0.0896,-0.1107,25.1,16.4
CUST00445,1,0,0.0064,0.0174,42.6,7.2
CUST00446,0,0,-0.0189,0.0386,94.1,11.9
CUST00447,1,0,0.0462,0.0754,52.4,14.0
CUST00448,2,1,-0.2399,-0.3579,4.4,64.8
CUST00449,7,1,-0.1345,-0.3492,6.5,40.0
CUST00450,3,3,-0.2812,-0.1854,11.2,95.3
CUST00451,0,0,0.0273,0.0211,336.7,10.5
CUST00452,2,0,0.0673,0.0213,73.1,20.2
CUST00453,0,1,0.0305,0.0176,61.1,11.9
CUST00454,0,0,-0.0654,-0.1276,8.3,0.9
CUST00455,1,0,-0.3124,0.0878,0.9,88.6
CUST00456,1,0,-0.1191,-0.0898,76.9,6.6
CUST00457,3,3,-0.3611,-0.251,7.9,86.9
CUST00458,3,1,-0.3009,-0.2531,9.2,65.6
CUST00459,1,1,0.0369,0.193,166.8,18.1
CUST00460,1,0,-0.0909,-0.0385,173.8,28.3
CUST00461,1,3,-0.5328,-0.239,4.9,73.3
CUST00462,1,1,0.0632,0.0727,9.9,16.3
CUST00463,3,4,-0.2239,-0.1436,4.0,82.2
CUST00464,2,2,0.2131,0.0909,22.7,13.6
CUST00465,3,1,-0.1879,-0.2286,18.7,96.7
CUST00466,0,0,0.1837,0.0151,17.6,17.7
CUST00467,2,1,-0.3993,-0.0479,4.9,97.5
CUST00468,1,0,0.0954,0.171,4.5,20.5
CUST00469,2,0,0.085,-0.0819,86.1,0.0
CUST00470,1,2,-0.3289,-0.3404,0.7,42.8
CUST00471,0,1,-0.057,0.0861,38.6,16.8
CUST00472,3,4,-0.2686,-0.5032,21.6,70.0
CUST00473,1,1,0.1406,-0.0221,23.8,1.2
CUST00474,2,1,-0.0499,0.0599,20.8,13.2
CUST00475,1,7,-0.2421,-0.3292,10.1,70.8
CUST00476,0,1,0.0193,-0.0793,6.1,17.7
CUST00477,1,0,0.0679,0.0807,51.7,11.4
